Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Version
NSRDB,20012,-,-,-,26.25,73.05,5.5,0,5.5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,unknown
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Speed,Pressure
2022,1,17,4,30,0,0,0,7,0.3,9900
2022,1,17,5,30,0,0,0,7,0.3,9910
2022,1,17,6,30,0,0,0,7,0.3,9910
2022,1,17,7,30,0,0,0,8,0.3,9920
2022,1,17,8,30,157,80,375,12,0.2,9920
2022,1,17,9,30,356,118,613,16,0.2,9930
2022,1,17,10,30,531,135,740,20,0.2,9930
2022,1,17,11,30,640,158,761,22,0.2,9920
2022,1,17,12,30,684,177,747,24,0.2,9910
2022,1,17,13,30,683,176,760,24,0.2,9900
2022,1,17,14,30,623,155,782,24,0.2,9890
2022,1,17,15,30,475,137,704,23,0.2,9880
2022,1,17,16,30,281,134,464,20,0.2,9890
2022,1,17,17,30,61,51,75,17,0.3,9890
2022,1,17,18,30,0,0,0,16,0.3,9900
2022,1,17,19,30,0,0,0,15,0.3,9900
2022,1,17,20,30,0,0,0,14,0.3,9900
2022,1,17,21,30,0,0,0,13,0.3,9900
2022,1,17,22,30,0,0,0,13,0.3,9900
2022,1,17,23,30,0,0,0,12,0.3,9900
2022,1,18,0,30,0,0,0,11,0.3,9890
2022,1,18,1,30,0,0,0,11,0.3,9900
2022,1,18,2,30,0,0,0,11,0.3,9890
2022,1,18,3,30,0,0,0,10,0.3,9890
2022,1,18,4,30,0,0,0,10,0.3,9900
2022,1,18,5,30,0,0,0,10,0.3,9900
2022,1,18,6,30,0,0,0,9,0.3,9910
2022,1,18,7,30,0,0,0,11,0.3,9920
2022,1,18,8,30,158,83,361,14,0.2,9930
2022,1,18,9,30,366,130,606,18,0.2,9940
2022,1,18,10,30,507,165,638,23,0.2,9930
2022,1,18,11,30,604,200,635,25,0.2,9920
2022,1,18,12,30,667,212,668,27,0.1,9900
2022,1,18,13,30,703,167,801,28,0.1,9890
2022,1,18,14,30,620,156,771,28,0.1,9880
2022,1,18,15,30,457,143,650,27,0.1,9880
2022,1,18,16,30,286,133,476,24,0.2,9880
2022,1,18,17,30,58,50,58,20,0.3,9890
2022,1,18,18,30,0,0,0,19,0.3,9890
2022,1,18,19,30,0,0,0,18,0.4,9900
2022,1,18,20,30,0,0,0,17,0.3,9900
2022,1,18,21,30,0,0,0,16,0.3,9910
2022,1,18,22,30,0,0,0,15,0.3,9900
2022,1,18,23,30,0,0,0,14,0.3,9900
2022,1,19,0,30,0,0,0,13,0.3,9890
2022,1,19,1,30,0,0,0,13,0.2,9880
2022,1,19,2,30,0,0,0,12,0.2,9880
2022,1,19,3,30,0,0,0,12,0.1,9880
2022,1,19,4,30,0,0,0,11,0.1,9880
2022,1,19,5,30,0,0,0,11,0.0,9880
2022,1,19,6,30,0,0,0,11,0.0,9890
2022,1,19,7,30,0,0,0,12,0.0,9890
2022,1,19,8,30,160,78,399,16,0.0,9900
2022,1,19,9,30,366,121,628,20,0.0,9900
2022,1,19,10,30,545,146,741,24,0.1,9900
2022,1,19,11,30,654,149,792,27,0.2,9890
2022,1,19,12,30,727,166,821,28,0.2,9880
2022,1,19,13,30,684,181,748,28,0.2,9870
2022,1,19,14,30,626,155,779,28,0.2,9860
2022,1,19,15,30,478,138,702,27,0.2,9850
2022,1,19,16,30,286,107,553,24,0.2,9860
2022,1,19,17,30,68,57,82,20,0.2,9860
2022,1,19,18,30,0,0,0,19,0.2,9860
2022,1,19,19,30,0,0,0,18,0.2,9860
2022,1,19,20,30,0,0,0,17,0.2,9870
2022,1,19,21,30,0,0,0,17,0.2,9870
2022,1,19,22,30,0,0,0,16,0.1,9860
2022,1,19,23,30,0,0,0,15,0.1,9860
2022,1,20,0,30,0,0,0,15,0.1,9850
2022,1,20,1,30,0,0,0,14,0.1,9850
2022,1,20,2,30,0,0,0,14,0.1,9840
2022,1,20,3,30,0,0,0,13,0.1,9840
2022,1,20,4,30,0,0,0,13,0.1,9840
2022,1,20,5,30,0,0,0,13,0.1,9840
2022,1,20,6,30,0,0,0,12,0.1,9850
2022,1,20,7,30,0,0,0,14,0.1,9850
2022,1,20,8,30,157,77,387,18,0.1,9850
2022,1,20,9,30,359,120,611,21,0.0,9860
2022,1,20,10,30,534,144,722,26,0.0,9860
2022,1,20,11,30,656,158,778,28,0.0,9850
2022,1,20,12,30,713,164,800,29,0.1,9840
2022,1,20,13,30,698,162,793,30,0.1,9830
2022,1,20,14,30,614,153,758,29,0.1,9820
2022,1,20,15,30,470,136,683,28,0.1,9810
2022,1,20,16,30,281,106,537,26,0.1,9810
2022,1,20,17,30,66,55,80,22,0.1,9810
2022,1,20,18,30,0,0,0,21,0.1,9810
2022,1,20,19,30,0,0,0,21,0.1,9810
2022,1,20,20,30,0,0,0,20,0.1,9820
