TMY3 data for calama
calama, -22.47, -68.93, -4, 0, TMY3, W/m2, C, %, m/s, deg, mm
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,DryBulb,DewPoint,RelativeHumidity,Pressure,WindSpeed,WindDirection
2014,1,10,3,0,0.0,0.0,0.0,8.2,8.2,31.6,850.0,2.8,70.5
2014,1,10,4,0,0.0,169.7566666666667,6.226666666666667,6.6,6.6,0.0,850.0,3.1,76.5
2014,1,10,5,0,39.34,339.5133333333334,12.453333333333331,3.3,7.2,35.4,850.0,3.1,79.5
2014,1,10,6,0,130.78,509.2700000000001,18.68,0.0,8.7,39.4,850.0,3.8,78.0
2014,1,10,7,0,271.64,679.0266666666668,24.906666666666663,12.0,12.0,45.1,850.0,3.8,78.0
2014,1,10,8,0,454.56,848.7833333333334,31.133333333333333,15.8,15.8,100.0,850.0,2.3,79.5
2014,1,10,9,0,668.74,1018.5400000000002,37.36,18.5,18.5,52.0,850.0,1.6,87.0
2014,1,10,10,0,861.6400000000001,1082.8200000000002,31.72,20.0,20.0,53.2,850.0,4.7,217.5
2014,1,10,11,0,1005.92,1112.66,33.14,21.0,21.0,52.6,850.0,6.9,235.5
2014,1,10,12,0,1089.36,1126.7400000000002,105.28,22.3,22.3,54.7,850.0,8.3,0.0
2014,1,10,13,0,1105.02,1129.74,105.4,23.6,-23.6,51.7,850.0,8.5,246.0
2014,1,10,14,0,1051.68,1122.42,105.0,24.6,24.6,40.2,850.0,8.4,247.5
2014,1,10,15,0,933.44,1102.0000000000002,112.54,25.6,25.6,31.1,850.0,8.2,249.0
2014,1,10,16,0,759.5,1057.0400000000002,110.42,25.0,25.0,27.8,850.0,7.6,256.5
2014,1,10,17,0,535.2,935.8000000000002,33.800000000000004,23.8,23.8,25.8,850.0,7.6,253.5
2014,1,10,18,0,336.62,712.3600000000001,25.44,21.4,21.4,22.8,850.0,6.5,256.5
2014,1,10,19,0,415.78,494.8200000000001,17.38,18.9,18.9,19.9,850.0,5.4,255.0
2014,1,10,20,0,301.78,288.14000000000004,9.84,16.8,16.8,16.8,850.0,3.7,259.5
2014,1,10,21,0,240.0,105.42000000000002,8.2,14.9,14.9,15.0,850.0,2.0,259.5
2014,1,10,22,0,240.0,0.0,6.5600000000000005,13.4,13.4,14.6,850.0,1.1,256.5
2014,1,10,23,0,240.0,0.0,4.92,-11.9,11.9,18.4,1100.0,1.7,232.5
2014,1,11,0,0,0.0,0.0,3.28,10.6,10.6,22.2,850.0,2.4,150.75
2014,1,11,1,0,0.0,0.0,1.6400000000000006,9.7,9.7,28.7,850.0,2.3,69.0
2014,1,11,2,0,0.0,240.0,0.0,9.0,9.0,34.0,850.0,3.0,0.0
2014,1,11,3,0,0.0,240.0,0.0,8.3,8.3,35.3,850.0,3.1,57.0
2014,1,11,4,0,0.0,240.0,0.0,7.0,7.0,36.6,850.0,3.0,73.5
2014,1,11,5,0,39.38,404.92,5.640000000000001,7.6,7.6,39.1,850.0,3.3,72.0
2014,1,11,6,0,39.38,605.0600000000001,12.82,9.0,9.0,44.2,1100.0,3.7,73.5
2014,1,11,7,0,181.26,605.0600000000001,20.7,12.5,12.5,50.4,850.0,3.2,78.0
2014,1,11,8,0,365.54,827.5400000000001,28.96,15.7,15.7,56.7,850.0,1.9,360.0
2014,1,11,9,0,581.3399999999999,1054.34,37.42,18.3,18.3,0.0,850.0,2.0,103.5
2014,1,11,10,0,775.62,1118.02,40.34,19.6,19.6,100.0,850.0,4.7,211.5
2014,1,11,11,0,1015.62,1146.66,41.74,20.4,20.4,53.5,850.0,6.8,235.5
2014,1,11,12,0,1098.8,1134.02,42.36,21.4,21.4,52.8,850.0,7.7,244.5
2014,1,11,13,0,1113.84,1135.72,42.440000000000005,22.7,22.7,49.2,850.0,7.9,249.0
2014,1,11,14,0,1059.52,1127.18,42.02,23.9,23.9,38.1,850.0,7.8,255.0
2014,1,11,15,0,940.4,1106.02,40.98,24.9,24.9,30.0,850.0,8.0,258.0
2014,1,11,16,0,762.7800000000001,1061.5,38.88000000000001,25.4,25.4,25.2,850.0,7.4,262.5
2014,1,11,17,0,549.76,942.12,33.82,24.2,24.2,24.0,850.0,0.0,0.0
2014,1,11,18,0,350.44000000000005,717.94,25.480000000000004,21.65,21.8,21.9,850.0,6.2,261.0
2014,1,11,19,0,188.96,499.68000000000006,17.44,19.1,19.1,19.6,850.0,5.4,255.0
2014,1,11,20,0,74.42,292.24,9.92,17.2,17.2,17.7,850.0,3.6,259.5
2014,1,11,21,0,12.04,107.98,3.44,15.4,15.4,16.3,850.0,2.2,258.0
2014,1,11,22,0,0.0,0.0,0.0,13.9,30.0,16.4,850.0,1.2,252.0
2014,1,11,23,0,0.0,0.0,0.0,12.2,12.2,19.2,850.0,1.4,235.5
2014,1,12,0,0,0.0,0.0,0.0,11.0,11.0,23.4,850.0,1.8,169.5
2014,1,12,1,0,0.0,0.0,0.0,9.8,9.8,0.0,850.0,2.2,75.0
2014,1,12,2,0,0.0,0.0,0.0,8.8,8.8,35.9,850.0,2.7,66.0
